Tissue,Disease,Species,symbol,ID,Platform,Type,Expression,Target,Pathway,Method,Drug,Function,PMID,Title,Year
heart,endomyocardial_fibrosis,homo_sapiens,RASSF1-A,11186,Gene,mRNA,down-regulation,NA,RAS SIGNALING PATHWAY,NA,no,DNAMT3A likely plays an essential role in rassf1a mediated upregulation of erk1/2 in rat cardiac fibrosis. DNMT3A and Rassf1a may serve as a new mechanism for cardiac fibrosis.,24945829,DNMT3A silencing RASSF1A promotes cardiac fibrosis through upregulation of ERK1/2,2014
heart,endomyocardial_fibrosis,homo_sapiens,RASAL1,8437,Gene,mRNA,methylation,NA,TGF-BETA SIGNALING PATHWAY,qPCR;  enzyme-linked immunosorbent assay etc.,no,"Hif1 alfa and transforming growth factor (TGF) / smad signaling pathway  regulate hypoxia induced  endothelial-to-mesenchymal transition (EndMT). through dnmt3a mediated rasal1 promoter hypermethylation and direct snail induction, and participate in the process of myocardial fibrosis.",27012941,Hypoxia-induced endothelial-mesenchymal transition is associated with RASAL1 promoter hypermethylation in human coronary endothelial cells.,2016
heart,heart_failure,homo_sapiens,BMP7,655,Gene,mRNA,hyper-methylation,NA,NOTCH SIGNALING PATHWAY, PCR; dual-luciferase reporter assay etc.,no,Highly methylated bmp-7 can block the end epithelial-mesenchymal transition (EMT) induced by TGF-beta and reduce fibrosis by regulating the activity of ve cadherin promoter.,25587097,Endocardial fibroelastosis is caused by aberrant endothelial to mesenchymal transition,2015
heart,cardiomegaly,homo_sapiens,IGF-IIR,25151,Gene,mRNA,histone acetylation,NA,NA,NA,no,Histone acetylation plays a critical role in IGF-iir up-regulation during pathological cardiac diseases and might provide a targeting gene in transcriptional therapies for the failing heart.,21412773,Histone acetylation is essential for ANG-II-induced IGF-IIR gene expression in H9c2 cardiomyoblast cells and pathologically hypertensive rat heart.,2013
heart,atrial_fibrillation,homo_sapiens,WWP-1,11059,Gene,mRNA,up-regulation,WWP-1,TGF-BETA SIGNALING PATHWAY, PCR; MTT ASSAY etc.,no,miR-21 inhibits cardiac fibroblasts proliferation by inactivating the TGF-beta1/smad2 signaling pathway via up-regulation of WWP1.,28495464,MicroRNA-21 via Dysregulation of WW Domain-Containing Protein 1 Regulate Atrial Fibrosis in Atrial Fibrillation,2017
heart,heart_failure,homo_sapiens,MECP2,4204,Gene,mRNA,methylation,NA,NA,CHIP;  PCR etc.,no,miR-212/132 was upregulated after transverse aortic constriction or on activation of alfa1- and beta1-adrenoceptors and miR-212/132 led to repression of methyl-CpG-binding protein 2 (MeCP2).,26195221,Adrenergic Repression of the Epigenetic Reader MeCP2 Facilitates Cardiac Adaptation in Chronic Heart Failure.,2015
heart,myocardial_infarction,homo_sapiens,PFN2,5217,Gene,mRNA,up-regulation,MIR-378;GRB2,NA,dual-luciferase reporter assay,no,"PCFL, and the mechanism involves the direct interaction of PCFL with miR-378, which in turn relieves the inhibition effect of miR-378 on GRB2 and promotes cardiac fibrosis.",31220469,LncRNA PCFL promotes cardiac fibrosis via miR-378/GRB2 pathway following myocardial infarction,2019
heart,endomyocardial_fibrosis,homo_sapiens,PFN2,5217,Gene,mRNA,up-regulation,PTAFR,NA, immunofluorescence; qRT-PCR,no,Pfl/ptafr/let-7d-dependent gene regulatory mechanism proposed by the authors manifests the hypothesis of competing endogenous rnas to cardiac fibrosis.,29463987,LET's sponge: How the lncRNA PFL promotes cardiac fibrosis/LncRNA PFL contributes to cardiac fibrosis by acting as a competing endogenous RNA of let-7d,2018
heart,diabetic_cardiomyopathy,homo_sapiens,PRPF31,26121,Gene,mRNA,down-regulation,ZEB1,NA,RT-PCR;  etc.,yes,Rg1 inhibited high-glucose (HG)-induced mesenchymal activation and fibrosis via regulating miR-2113/rp11-982m15.8/Zeb1 pathway.,29654764,Rg1 inhibits high glucose-induced mesenchymal activation and fibrosis via regulating miR-2113/RP11-982M15.8/Zeb1 pathway,2018
heart,endomyocardial_fibrosis,homo_sapiens,RASAL1,8437,Gene,mRNA,methylation,NA,NA,CHIP; dual-luciferase reporter assay etc.,no,Transcriptional suppression of rasal1 through aberrant promoter methylation contributes to endothelial-to-mesenchymal transition (EndMT) and ultimately to progression of cardiac fibrosis.,25616414,Epigenetic balance of aberrant Rasal1 promoter methylation and hydroxymethylation regulates cardiacfibrosis.,2015
heart,cardiomegaly,homo_sapiens,MYH7B,57644,Gene,mRNA,up-regulation,NA,CALCIUM SIGNALING PATHWAY,Echocardiography,no,NA,32207065,MYH7B variants cause hypertrophic cardiomyopathy by activating the CaMK-signaling pathway,2020
